id,utcDate,matchday,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name,score.fullTime.home,score.fullTime.away,result,home_form,away_form,home_norm,away_norm,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,h2h_matches_count,h2h_win_ratio,h2h_goal_difference,h2h_avg_goals,isDerby,derbyType,home_current_value_eur,home_previous_value_eur,home_value_change_pct,home_squad_avg_age,home_absolute_change,home_log_current_value,away_current_value_eur,away_previous_value_eur,away_value_change_pct,away_squad_avg_age,away_absolute_change,away_log_current_value,home_goals,home_xg,home_injury_count,home_last5_form_points,away_goals,away_xg,away_injury_count,away_last5_form_points,value_difference,value_ratio,goals_difference,goals_ratio,xg_difference,xg_ratio,form_difference,injury_difference,age_difference,home_power_index,away_power_index,power_difference,performance_ratio
441813,2023-09-02T13:30:00Z,3,12,SV Werder Bremen,15,1. FSV Mainz 05,4,0,HomeWin,3.0,0.0,sv werder bremen,1. fsv mainz 05,0,0,0,0,0,0,0.5,0,2.5,0,Normal,110000000.0,105000000.0,4.8,26.4,5000000.0,18.52,120000000.0,115000000.0,4.3,25.9,5000000.0,18.6,8.0,6.6,0.0,0.0,5.0,7.0,0.0,0.0,-10000000.0,0.9166666666666666,3.0,1.6,-0.40000000000000036,0.9428571428571428,0.0,0.0,0.5,12.963999999999999,13.02,-0.05600000000000094,1.2121212121212122
441815,2023-09-02T13:30:00Z,3,10,VfB Stuttgart,17,SC Freiburg,5,0,HomeWin,6.0,0.0,vfb stuttgart,sc freiburg,0,0,0,0,0,0,0.5,0,2.5,1,vfb stuttgart vs sc freiburg,220000000.0,200000000.0,10.0,25.7,20000000.0,19.21,180000000.0,170000000.0,5.9,26.5,10000000.0,19.01,5.0,5.0,0.0,0.0,7.0,7.3,0.0,0.0,40000000.0,1.2222222222222223,-2.0,0.7142857142857143,-2.3,0.684931506849315,0.0,0.0,-0.8000000000000007,13.447,13.307,0.1399999999999988,1.0
441809,2023-09-02T13:30:00Z,3,3,Bayer 04 Leverkusen,55,SV Darmstadt 98,5,1,HomeWin,6.0,3.0,bayer 04 leverkusen,darmstadt 98,0,0,0,0,0,0,0.5,0,2.5,0,Normal,620000000.0,580000000.0,6.9,25.2,40000000.0,20.25,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,7.0,4.9,0.0,0.0,6.555555555555555,5.794444444444444,0.0,0.0,358611111.1111111,2.3719447396386824,0.44444444444444464,1.0677966101694916,-0.8944444444444439,0.8456375838926176,0.0,0.0,-0.9000000000000021,14.174999999999999,13.321,0.8539999999999992,1.4285714285714284
441812,2023-09-02T13:30:00Z,3,2,TSG 1899 Hoffenheim,11,VfL Wolfsburg,3,1,HomeWin,3.0,3.0,tsg 1899 hoffenheim,vfl wolfsburg,0,0,0,0,0,0,0.5,0,2.5,0,Normal,190000000.0,185000000.0,2.7,25.3,5000000.0,19.06,230000000.0,220000000.0,4.5,25.8,10000000.0,19.25,8.0,5.5,0.0,0.0,7.0,4.5,0.0,0.0,-40000000.0,0.8260869565217391,1.0,1.1428571428571428,1.0,1.2222222222222223,0.0,0.0,-0.5,13.341999999999999,13.475,-0.1330000000000009,1.4545454545454546
441811,2023-09-02T16:30:00Z,3,18,Borussia Mönchengladbach,5,FC Bayern München,1,2,AwayWin,0.0,1.0,borussia monchengladbach,fc bayern munchen,0,0,0,0,0,0,0.5,0,2.5,0,Normal,250000000.0,240000000.0,4.2,26.0,10000000.0,19.34,980000000.0,950000000.0,3.2,26.8,30000000.0,20.7,0.0,4.4,0.0,0.0,18.0,11.2,0.0,0.0,-730000000.0,0.25510204081632654,-18.0,0.0,-6.799999999999999,0.3928571428571429,0.0,0.0,-0.8000000000000007,13.537999999999998,14.489999999999998,-0.952,0.0
441810,2023-09-03T13:30:00Z,3,19,Eintracht Frankfurt,1,1. FC Köln,1,1,Draw,0.0,1.0,eintracht frankfurt,1. fc koln,0,0,0,0,0,0,0.5,0,2.5,0,Normal,280000000.0,260000000.0,7.7,26.3,20000000.0,19.45,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,8.0,5.1,0.0,0.0,9.0,6.9,0.0,0.0,180000000.0,2.8,-1.0,0.8888888888888888,-1.8000000000000007,0.7391304347826086,0.0,0.0,-0.3999999999999986,13.614999999999998,12.894,0.7209999999999983,1.5686274509803924
441808,2023-09-03T15:30:00Z,3,28,1. FC Union Berlin,721,RB Leipzig,0,3,AwayWin,3.0,3.0,1. fc union berlin,rb leipzig,0,0,0,0,0,0,0.5,0,2.5,0,Normal,150000000.0,140000000.0,7.1,27.1,10000000.0,18.83,520000000.0,500000000.0,4.0,24.1,20000000.0,20.07,4.0,4.0,0.0,0.0,6.0,8.0,0.0,2.25,-370000000.0,0.28846153846153844,-2.0,0.6666666666666666,-4.0,0.5,-2.25,0.0,3.0,13.180999999999997,14.724,-1.5430000000000028,1.0
441816,2023-09-15T18:30:00Z,4,5,FC Bayern München,3,Bayer 04 Leverkusen,2,2,Draw,6.0,4.0,fc bayern munchen,bayer 04 leverkusen,0,0,0,0,0,0,0.5,0,2.5,0,Normal,980000000.0,950000000.0,3.2,26.8,30000000.0,20.7,620000000.0,580000000.0,6.9,25.2,40000000.0,20.25,18.0,11.2,0.0,0.0,7.0,4.9,0.0,0.0,360000000.0,1.5806451612903225,11.0,2.5714285714285716,6.299999999999999,2.2857142857142856,0.0,0.0,1.6000000000000014,14.489999999999998,14.174999999999999,0.3149999999999995,1.6071428571428572
441817,2023-09-16T13:30:00Z,4,721,RB Leipzig,16,FC Augsburg,3,0,HomeWin,2.0,0.0,rb leipzig,fc augsburg,0,0,0,0,0,0,0.5,0,2.5,0,Normal,520000000.0,500000000.0,4.0,24.1,20000000.0,20.07,130000000.0,125000000.0,4.0,26.2,5000000.0,18.68,6.0,8.0,0.0,2.25,7.0,3.7,0.0,0.0,390000000.0,4.0,-1.0,0.8571428571428571,4.3,2.162162162162162,2.25,0.0,-2.099999999999998,14.724,13.075999999999999,1.6480000000000015,0.75
441818,2023-09-16T13:30:00Z,4,17,SC Freiburg,4,Borussia Dortmund,2,4,AwayWin,3.0,3.0,sc freiburg,borussia dortmund,0,0,0,0,0,0,0.5,0,2.5,0,Normal,180000000.0,170000000.0,5.9,26.5,10000000.0,19.01,470000000.0,450000000.0,4.4,24.9,20000000.0,19.97,7.0,7.3,0.0,0.0,8.0,6.7,0.0,0.0,-290000000.0,0.3829787234042553,-1.0,0.875,0.5999999999999996,1.0895522388059702,0.0,0.0,1.6000000000000014,13.307,13.979,-0.6719999999999988,0.9589041095890412
