id,utcDate,matchday,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name,score.fullTime.home,score.fullTime.away,result,home_form,away_form,home_norm,away_norm,home_current_value_eur,home_previous_value_eur,home_value_change_pct,home_squad_avg_age,home_absolute_change,home_log_current_value,away_current_value_eur,away_previous_value_eur,away_value_change_pct,away_squad_avg_age,away_absolute_change,away_log_current_value
540469,2025-03-02T00:00:00Z,0,767,Paderborn,1767,Hamburger SV,2,0,H,0.0,0.0,paderborn,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540470,2025-03-08T00:00:00Z,0,768,Ulm,1768,1. FC Köln,0,1,A,0.0,0.0,ulm,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540471,2025-03-08T00:00:00Z,0,769,Hamburger SV,1769,Fortuna Dusseldorf,4,1,H,0.0,0.0,hamburger sv,fortuna dusseldorf,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540472,2025-03-14T00:00:00Z,0,770,Magdeburg,1770,Hamburger SV,0,3,A,0.0,0.0,magdeburg,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540473,2025-03-15T00:00:00Z,0,771,1. FC Köln,1771,Darmstadt,2,1,H,0.0,0.0,1. fc koln,darmstadt,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540474,2025-03-28T00:00:00Z,0,772,Hamburger SV,1772,Elversberg,0,0,D,0.0,0.0,hamburger sv,elversberg,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540475,2025-03-29T00:00:00Z,0,773,Paderborn,1773,1. FC Köln,1,2,A,0.0,0.0,paderborn,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540476,2025-04-05T00:00:00Z,0,774,Nurnberg,1774,Hamburger SV,0,3,A,0.0,0.0,nurnberg,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540477,2025-04-05T00:00:00Z,0,775,1. FC Köln,1775,Hertha,0,1,A,0.0,0.0,1. fc koln,hertha,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540478,2025-04-11T00:00:00Z,0,776,Greuther Furth,1776,1. FC Köln,1,1,D,0.0,0.0,greuther furth,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540479,2025-04-11T00:00:00Z,0,777,Hamburger SV,1777,Braunschweig,2,4,A,0.0,0.0,hamburger sv,braunschweig,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540480,2025-04-19T00:00:00Z,0,778,Schalke 04,1778,Hamburger SV,2,2,D,0.0,0.0,schalke 04,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540481,2025-04-20T00:00:00Z,0,779,1. FC Köln,1779,Preußen Münster,3,1,H,0.0,0.0,1. fc koln,preuen munster,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540482,2025-04-27T00:00:00Z,0,780,Hamburger SV,1780,Karlsruhe,1,2,A,0.0,0.0,hamburger sv,karlsruhe,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540483,2025-04-27T00:00:00Z,0,781,Hannover,1781,1. FC Köln,1,0,H,0.0,0.0,hannover,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540484,2025-05-03T00:00:00Z,0,782,Darmstadt,1782,Hamburger SV,0,4,A,0.0,0.0,darmstadt,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540485,2025-05-03T00:00:00Z,0,783,1. FC Köln,1783,Regensburg,1,1,D,0.0,0.0,1. fc koln,regensburg,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540486,2025-05-09T00:00:00Z,0,784,Nurnberg,1784,1. FC Köln,1,2,A,0.0,0.0,nurnberg,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540487,2025-05-10T00:00:00Z,0,785,Hamburger SV,1785,Ulm,6,1,H,0.0,0.0,hamburger sv,ulm,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540488,2025-05-18T00:00:00Z,0,786,1. FC Köln,1786,Kaiserslautern,4,0,H,0.0,0.0,1. fc koln,kaiserslautern,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540489,2025-05-18T00:00:00Z,0,787,Greuther Furth,1787,Hamburger SV,3,2,H,0.0,0.0,greuther furth,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
